                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67797,                0.63086,                0.99637,                0.33538,                0.28918,                0.28481,                0.19764,                  1.298,                 2.1265,                 1.3287,             0.00039008,             0.00039008,             0.00039008
                     36,                0.68651,                0.65105,                 0.9999,                0.27699,                0.28015,                0.24204,                0.16338,                 1.3237,                 2.4592,                 1.3419,             0.00038426,             0.00038426,             0.00038426
                     37,                0.64666,                0.58458,                0.96941,                0.30258,                 0.2567,                0.25567,                0.17622,                 1.2809,                 2.3115,                 1.3174,             0.00037844,             0.00037844,             0.00037844
                     38,                0.64545,                0.57184,                0.98062,                  0.342,                0.27207,                0.30228,                0.21444,                 1.3147,                 2.2298,                 1.3556,             0.00037262,             0.00037262,             0.00037262
                     39,                0.63618,                0.56859,                0.97927,                0.33992,                0.30356,                0.31046,                0.22021,                  1.321,                 2.0652,                 1.3506,             0.00036679,             0.00036679,             0.00036679
                     40,                0.64245,                0.57677,                0.98756,                 0.3147,                 0.2853,                0.29453,                0.19764,                 1.3361,                 2.2371,                 1.3685,             0.00036097,             0.00036097,             0.00036097
                     41,                0.66605,                0.58106,                0.98912,                0.29087,                0.33263,                0.29806,                0.19857,                 1.3288,                 2.0112,                 1.3689,             0.00035515,             0.00035515,             0.00035515
                     42,                0.62388,                0.53508,                0.96419,                0.36408,                0.27708,                0.28814,                0.18793,                 1.3464,                  2.055,                  1.404,             0.00034933,             0.00034933,             0.00034933
                     43,                 0.6436,                0.54544,                0.96672,                0.24543,                0.34843,                0.27838,                0.18527,                 1.3389,                  2.193,                 1.3746,             0.00034351,             0.00034351,             0.00034351
                     44,                0.62162,                 0.5736,                0.96946,                0.25674,                0.28593,                0.25961,                0.16813,                 1.3611,                 2.3104,                 1.3829,             0.00033769,             0.00033769,             0.00033769
                     45,                0.63134,                0.52149,                0.96418,                  0.251,                0.32645,                0.25393,                0.15833,                 1.3679,                 2.3992,                 1.3916,             0.00033187,             0.00033187,             0.00033187
                     46,                  0.613,                0.50493,                0.95115,                0.31273,                0.30585,                0.29046,                0.18261,                 1.3439,                 2.1829,                 1.3692,             0.00032605,             0.00032605,             0.00032605
                     47,                0.60931,                0.54072,                0.95968,                0.32757,                0.31597,                0.30012,                 0.1979,                 1.3345,                 2.0523,                  1.367,             0.00032022,             0.00032022,             0.00032022
                     48,                0.63555,                0.52674,                 0.9659,                0.33238,                0.34458,                0.31623,                0.21655,                 1.2831,                 2.0178,                 1.3215,              0.0003144,              0.0003144,              0.0003144
                     49,                0.59299,                0.49837,                0.94502,                0.32482,                0.33897,                0.29698,                0.20712,                 1.2965,                 2.0176,                 1.3437,             0.00030858,             0.00030858,             0.00030858
                     50,                0.60578,                0.46915,                0.95048,                0.26781,                0.34418,                0.29266,                 0.2044,                 1.2908,                 2.0737,                 1.3289,             0.00030276,             0.00030276,             0.00030276
                     51,                0.57686,                0.47978,                0.93957,                0.27379,                0.35605,                0.28175,                 0.1892,                 1.3121,                 2.0871,                 1.3382,             0.00029694,             0.00029694,             0.00029694
                     52,                0.59706,                0.48734,                0.95379,                0.24276,                 0.3514,                0.27732,                0.18073,                 1.3091,                 2.0698,                 1.3752,             0.00029112,             0.00029112,             0.00029112
                     53,                 0.5835,                0.45561,                0.93956,                0.28219,                0.29111,                0.27716,                0.18579,                 1.3348,                 2.0566,                 1.3943,              0.0002853,              0.0002853,              0.0002853
                     54,                0.58377,                0.46946,                0.93424,                0.28878,                 0.2726,                0.27024,                0.18638,                 1.3497,                 2.1356,                 1.3923,             0.00027948,             0.00027948,             0.00027948
                     55,                0.56794,                0.45934,                0.93024,                0.24566,                0.32501,                0.27711,                0.18966,                 1.3352,                 2.2474,                 1.3767,             0.00027366,             0.00027366,             0.00027366
                     56,                0.56204,                0.45507,                0.93666,                0.25442,                0.31919,                0.28616,                0.19805,                 1.3513,                 2.1658,                 1.3949,             0.00026783,             0.00026783,             0.00026783
                     57,                0.57628,                0.46615,                0.95446,                0.47422,                 0.2551,                0.29657,                 0.2019,                 1.3875,                 2.1058,                 1.4046,             0.00026201,             0.00026201,             0.00026201
                     58,                0.55801,                0.44742,                0.94258,                0.28037,                0.33237,                0.29604,                0.20086,                 1.3727,                 2.0716,                 1.3948,             0.00025619,             0.00025619,             0.00025619
                     59,                0.57273,                0.44086,                 0.9366,                 0.2774,                 0.3361,                0.28905,                0.19132,                 1.3556,                 2.1283,                 1.3933,             0.00025037,             0.00025037,             0.00025037
                     60,                0.55793,                0.44028,                0.93609,                 0.2754,                 0.3423,                0.26776,                0.17997,                 1.3514,                 2.2004,                 1.3722,             0.00024455,             0.00024455,             0.00024455
                     61,                0.55554,                 0.4319,                0.93508,                0.28305,                0.30737,                0.26989,                0.17958,                 1.3091,                 2.1341,                 1.3385,             0.00023873,             0.00023873,             0.00023873
                     62,                0.56619,                0.43002,                0.93848,                0.32673,                0.28273,                  0.294,                0.19804,                 1.3468,                 2.1981,                 1.3598,             0.00023291,             0.00023291,             0.00023291
                     63,                0.53368,                0.42348,                0.91763,                0.30915,                0.31643,                0.28933,                0.19762,                 1.3521,                 2.2178,                 1.3755,             0.00022709,             0.00022709,             0.00022709
                     64,                0.54404,                0.40627,                0.91884,                0.33185,                0.25125,                0.27413,                0.18457,                 1.3426,                 2.1804,                 1.3873,             0.00022126,             0.00022126,             0.00022126
                     65,                0.54232,                0.43131,                0.92674,                0.26938,                0.33634,                0.27715,                0.18779,                 1.3237,                 2.1686,                 1.3686,             0.00021544,             0.00021544,             0.00021544
                     66,                  0.535,                0.40586,                0.92277,                0.33208,                0.26062,                0.26611,                0.17903,                 1.3381,                 2.2524,                 1.3733,             0.00020962,             0.00020962,             0.00020962
                     67,                0.52618,                0.40796,                0.92291,                0.26161,                0.29037,                0.26169,                0.18055,                 1.3637,                 2.2566,                 1.3759,              0.0002038,              0.0002038,              0.0002038
                     68,                0.51698,                0.39213,                0.92067,                 0.2931,                0.26985,                0.26612,                0.17942,                 1.3823,                 2.3217,                 1.3884,             0.00019798,             0.00019798,             0.00019798
                     69,                0.54278,                0.42482,                0.92577,                 0.2894,                0.27424,                0.25767,                0.17894,                 1.3282,                 2.2582,                 1.3605,             0.00019216,             0.00019216,             0.00019216
                     70,                0.52976,                0.40158,                0.92439,                0.31994,                0.28046,                0.28565,                 0.1957,                 1.3045,                  2.108,                 1.3345,             0.00018634,             0.00018634,             0.00018634
                     71,                0.51378,                0.38082,                0.89943,                0.27751,                0.37713,                0.30415,                0.20901,                 1.3068,                 2.0233,                 1.3359,             0.00018052,             0.00018052,             0.00018052
                     72,                0.49284,                0.38488,                0.90618,                0.41613,                0.29663,                0.30562,                0.20756,                 1.3135,                 2.0095,                 1.3393,             0.00017469,             0.00017469,             0.00017469
                     73,                0.50954,                0.41577,                0.90925,                0.31378,                 0.3058,                0.30271,                0.20996,                 1.3065,                 2.0488,                 1.3384,             0.00016887,             0.00016887,             0.00016887
                     74,                0.49321,                0.37442,                0.90675,                0.27922,                0.31396,                0.28935,                0.19905,                 1.3008,                  2.203,                 1.3378,             0.00016305,             0.00016305,             0.00016305
                     75,                 0.5112,                0.38316,                0.90648,                0.28206,                 0.3017,                0.27646,                 0.1926,                 1.3237,                 2.2734,                 1.3616,             0.00015723,             0.00015723,             0.00015723
                     76,                0.50517,                0.38172,                0.90552,                0.28942,                0.28783,                0.27537,                0.18784,                  1.336,                 2.2561,                 1.3646,             0.00015141,             0.00015141,             0.00015141
                     77,                 0.4944,                0.36868,                0.90746,                0.33835,                0.26108,                0.27241,                0.18341,                 1.3634,                 2.2565,                 1.3854,             0.00014559,             0.00014559,             0.00014559
                     78,                0.48633,                0.37884,                0.89787,                0.32957,                 0.2913,                0.28321,                0.18859,                 1.3797,                 2.1743,                 1.4018,             0.00013977,             0.00013977,             0.00013977
                     79,                0.50001,                0.38158,                0.90889,                0.29031,                0.31011,                0.28418,                0.19171,                 1.3678,                 2.1678,                 1.3898,             0.00013395,             0.00013395,             0.00013395
                     80,                0.48794,                 0.3818,                0.90827,                  0.306,                0.28009,                0.28651,                0.19613,                 1.3615,                 2.2295,                 1.3808,             0.00012813,             0.00012813,             0.00012813
                     81,                0.49325,                0.35589,                0.89257,                0.32169,                0.27642,                0.28347,                0.19375,                 1.3501,                 2.2777,                 1.3675,              0.0001223,              0.0001223,              0.0001223
                     82,                0.48912,                0.35967,                0.90336,                0.28956,                0.31906,                0.28842,                0.19849,                 1.3193,                 2.1814,                 1.3378,             0.00011648,             0.00011648,             0.00011648
                     83,                0.48222,                0.35734,                0.90145,                0.34051,                0.26223,                0.28154,                0.19413,                 1.3118,                 2.1751,                 1.3494,             0.00011066,             0.00011066,             0.00011066
                     84,                0.47141,                0.35099,                0.89435,                0.29453,                0.30172,                0.28538,                0.19408,                 1.3192,                 2.1666,                 1.3622,             0.00010484,             0.00010484,             0.00010484
                     85,                0.48201,                0.36075,                0.89885,                0.31215,                0.27225,                0.28859,                0.19496,                 1.3263,                 2.2323,                 1.3735,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                0.45749,                0.33341,                0.88603,                  0.295,                0.28524,                 0.2952,                0.19777,                 1.3331,                 2.2701,                 1.3827,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                0.47565,                0.34209,                0.89932,                0.30633,                0.27569,                0.29028,                0.19545,                  1.347,                 2.2387,                  1.383,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                0.45724,                0.35289,                0.89145,                0.27709,                0.32726,                0.29385,                0.19626,                 1.3363,                 2.2107,                 1.3753,             8.1556e-05,             8.1556e-05,             8.1556e-05
